epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1252.7,1.24091,2.42455,1.2695,0.51484,0.35239,0.35122,0.23356,1.29723,1.72995,1.2842,0.0700081,0.00333243,0.00333243
2,2484.27,1.32584,1.93906,1.33434,0.5288,0.35641,0.36942,0.24899,1.29215,1.62983,1.29562,0.0400016,0.00665925,0.00665925
3,3743.03,1.39943,2.02884,1.38821,0.49146,0.33871,0.33783,0.22409,1.32211,1.69072,1.32439,0.00996909,0.00996007,0.00996007
4,10642.1,1.41368,2.03683,1.40637,0.5332,0.35825,0.37319,0.25329,1.27688,1.56545,1.29111,0.00991232,0.00991232,0.00991232
5,11822.1,1.37003,1.91196,1.37475,0.52762,0.38351,0.39815,0.27473,1.24329,1.49425,1.27033,0.00984449,0.00984449,0.00984449
6,13035.4,1.34621,1.84049,1.35666,0.53348,0.39552,0.41324,0.28681,1.22679,1.45244,1.25573,0.00975773,0.00975773,0.00975773
7,14248.3,1.33037,1.80177,1.34572,0.56867,0.38833,0.42089,0.29297,1.21648,1.42883,1.24721,0.00965239,0.00965239,0.00965239
8,15436.2,1.32121,1.77438,1.33755,0.56422,0.39626,0.42686,0.29723,1.2097,1.4117,1.24179,0.00952889,0.00952889,0.00952889
9,16627.9,1.31339,1.7511,1.33402,0.56432,0.40185,0.4308,0.30032,1.20543,1.40078,1.23933,0.00938772,0.00938772,0.00938772
10,17826.3,1.30524,1.72935,1.32632,0.57445,0.40008,0.43279,0.30235,1.20155,1.39258,1.23655,0.00922942,0.00922942,0.00922942
11,19030.3,1.29943,1.71922,1.32315,0.57083,0.40245,0.4353,0.30456,1.19781,1.38581,1.23399,0.00905463,0.00905463,0.00905463
12,20222.2,1.29458,1.70492,1.3188,0.5763,0.40316,0.43733,0.3067,1.19479,1.37986,1.23136,0.00886404,0.00886404,0.00886404
13,21387.2,1.29212,1.69552,1.31719,0.57908,0.40403,0.44003,0.30887,1.19201,1.3731,1.22906,0.00865839,0.00865839,0.00865839
14,22551.4,1.28782,1.68439,1.31341,0.58275,0.4053,0.44279,0.31072,1.18987,1.36766,1.22735,0.00843851,0.00843851,0.00843851
15,26820,1.2838,1.67489,1.31101,0.57692,0.40879,0.445,0.31241,1.18766,1.3621,1.22472,0.00820525,0.00820525,0.00820525
16,28035.8,1.27912,1.66568,1.30865,0.56438,0.41697,0.44646,0.314,1.18575,1.35677,1.22265,0.00795954,0.00795954,0.00795954
17,1198.68,1.27282,1.65099,1.30342,0.56166,0.41815,0.44814,0.31518,1.18401,1.35075,1.22098,0.00770234,0.00770234,0.00770234
18,2482.15,1.27383,1.65436,1.30376,0.56467,0.41953,0.44998,0.31685,1.18241,1.34584,1.21944,0.00743468,0.00743468,0.00743468
19,3705.91,1.27187,1.64614,1.30156,0.5601,0.42442,0.45222,0.318,1.18148,1.34152,1.21833,0.00715761,0.00715761,0.00715761
20,4904.31,1.26646,1.63586,1.29831,0.56048,0.42808,0.45388,0.31894,1.17981,1.33673,1.2166,0.00687222,0.00687222,0.00687222
21,10155,1.26341,1.62455,1.2956,0.56213,0.42937,0.45528,0.32051,1.17863,1.33213,1.21534,0.00657963,0.00657963,0.00657963
22,11349.2,1.25804,1.60922,1.29083,0.56144,0.43187,0.45674,0.32154,1.17681,1.32759,1.21353,0.00628101,0.00628101,0.00628101
23,12661.3,1.25465,1.60168,1.28927,0.57512,0.42531,0.45816,0.32249,1.17545,1.32383,1.21177,0.00597754,0.00597754,0.00597754
24,13839.6,1.25098,1.59261,1.28549,0.57449,0.42745,0.45995,0.32362,1.17406,1.31983,1.20999,0.0056704,0.0056704,0.0056704
25,20716,1.24696,1.58346,1.28502,0.57373,0.4302,0.46151,0.32466,1.17256,1.31653,1.2085,0.00536081,0.00536081,0.00536081
26,21913.4,1.24129,1.56719,1.27944,0.57284,0.43291,0.46306,0.3256,1.17189,1.31294,1.20749,0.00505,0.00505,0.00505
27,23221.2,1.23632,1.55987,1.27679,0.57685,0.43422,0.46447,0.32705,1.17054,1.30918,1.20601,0.00473919,0.00473919,0.00473919
28,1164.84,1.22005,1.5252,1.26691,0.58077,0.4352,0.46622,0.32837,1.16843,1.30514,1.20442,0.0044296,0.0044296,0.0044296
29,2840.62,1.22023,1.52495,1.26586,0.57996,0.43621,0.46818,0.32969,1.16629,1.30119,1.20242,0.00412246,0.00412246,0.00412246
30,4077.77,1.2174,1.51716,1.26439,0.58366,0.43461,0.4694,0.33105,1.16445,1.29818,1.20096,0.00381899,0.00381899,0.00381899
31,5259.35,1.21163,1.50766,1.2606,0.58809,0.43541,0.47095,0.33234,1.16317,1.29493,1.19975,0.00352037,0.00352037,0.00352037
32,6656.45,1.20787,1.49495,1.25706,0.58375,0.43997,0.47187,0.3336,1.16172,1.29195,1.19834,0.00322778,0.00322778,0.00322778
33,1178.55,1.18771,1.45244,1.24609,0.58751,0.4405,0.47334,0.33467,1.16072,1.28816,1.19729,0.00294239,0.00294239,0.00294239
34,3080.6,1.18953,1.45543,1.24683,0.58859,0.44174,0.47476,0.33553,1.15946,1.28531,1.1961,0.00266532,0.00266532,0.00266532
35,4336.86,1.1886,1.45122,1.24596,0.59442,0.43889,0.47555,0.33617,1.15843,1.28303,1.19482,0.00239766,0.00239766,0.00239766
36,5553,1.18377,1.44578,1.24285,0.59733,0.43937,0.47664,0.33691,1.15731,1.2805,1.19364,0.00214046,0.00214046,0.00214046
37,1179.2,1.16216,1.39811,1.23059,0.593,0.44398,0.47783,0.33737,1.15688,1.27807,1.19291,0.00189475,0.00189475,0.00189475
38,2338.81,1.16551,1.40308,1.23115,0.59342,0.44598,0.47904,0.33791,1.15672,1.27595,1.19228,0.00166149,0.00166149,0.00166149
39,13386,1.16768,1.40362,1.23231,0.59677,0.44553,0.47988,0.33832,1.1564,1.27411,1.19139,0.00144161,0.00144161,0.00144161
40,16639.6,1.16513,1.40341,1.2314,0.5951,0.44746,0.48089,0.33933,1.15581,1.27282,1.19057,0.00123596,0.00123596,0.00123596
41,17791.2,1.17069,1.33653,1.2267,0.59913,0.44587,0.48122,0.34012,1.15385,1.27078,1.18888,0.00104537,0.00104537,0.00104537
42,18917.8,1.15989,1.31238,1.2191,0.59988,0.44636,0.4828,0.34127,1.15222,1.26852,1.18777,0.000870577,0.000870577,0.000870577
43,20044.5,1.15491,1.29709,1.21432,0.60113,0.44676,0.4841,0.34234,1.15092,1.26644,1.18656,0.000712282,0.000712282,0.000712282
44,21171.4,1.14827,1.28485,1.21069,0.60062,0.44866,0.48497,0.34373,1.1489,1.26403,1.18467,0.000571106,0.000571106,0.000571106
45,22297.6,1.14265,1.27299,1.20701,0.60569,0.44904,0.4861,0.34501,1.14737,1.2616,1.18339,0.000447606,0.000447606,0.000447606
46,23424,1.14056,1.26376,1.20492,0.60175,0.45277,0.48714,0.3457,1.14639,1.25929,1.18217,0.00034227,0.00034227,0.00034227
47,24549.1,1.13591,1.25762,1.20208,0.60177,0.45314,0.48809,0.3466,1.14486,1.2573,1.18056,0.000255513,0.000255513,0.000255513
48,25677.3,1.13335,1.25108,1.20028,0.60278,0.45452,0.48885,0.34699,1.14417,1.25555,1.17972,0.000187678,0.000187678,0.000187678
49,26824.7,1.13065,1.24708,1.19952,0.6048,0.45521,0.48956,0.34754,1.14383,1.25402,1.17929,0.000139032,0.000139032,0.000139032
50,27951.4,1.12909,1.24181,1.19833,0.60525,0.45464,0.48992,0.34806,1.14353,1.25248,1.17882,0.000109768,0.000109768,0.000109768
