epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1425.9,1.25546,1.63099,1.29391,0.51522,0.38156,0.38843,0.26317,1.25949,1.50163,1.25812,0.0670045,0.000333288,0.000333288
2,2603.77,1.27664,1.68182,1.3148,0.5534,0.40102,0.42499,0.29282,1.22041,1.41281,1.24536,0.0340043,0.000666459,0.000666459
3,3839.54,1.28314,1.69515,1.32038,0.53917,0.41911,0.43753,0.30417,1.20256,1.37745,1.23669,0.00100349,0.000998978,0.000998978
4,4995.42,1.27674,1.6763,1.31732,0.56838,0.41765,0.44815,0.31238,1.19,1.35174,1.22803,0.000997803,0.000997803,0.000997803
5,6147.05,1.26405,1.64444,1.30621,0.58125,0.42038,0.45445,0.31735,1.1827,1.33316,1.22122,0.000996097,0.000996097,0.000996097
6,29167.3,1.25527,1.61896,1.29823,0.58161,0.42258,0.45724,0.31974,1.17666,1.32029,1.21715,0.000993906,0.000993906,0.000993906
7,30321.3,1.24653,1.59816,1.2927,0.57882,0.42625,0.46042,0.32312,1.17228,1.31088,1.21363,0.000991232,0.000991232,0.000991232
8,1164.65,1.24185,1.587,1.28988,0.57107,0.42948,0.46326,0.32488,1.16952,1.30437,1.2115,0.000988079,0.000988079,0.000988079
9,3421.81,1.23841,1.57641,1.28636,0.55972,0.43469,0.46387,0.3261,1.16724,1.29981,1.20918,0.000984449,0.000984449,0.000984449
10,4580.8,1.2318,1.55744,1.27989,0.55839,0.43821,0.4656,0.32789,1.16505,1.29625,1.20722,0.000980345,0.000980345,0.000980345
11,5740.57,1.22776,1.54624,1.27856,0.56551,0.43946,0.46741,0.32945,1.16311,1.29433,1.2057,0.000975773,0.000975773,0.000975773
12,6899.77,1.22146,1.53194,1.27296,0.57216,0.43802,0.46873,0.33023,1.16177,1.29242,1.20449,0.000970736,0.000970736,0.000970736
13,8063.2,1.21886,1.52482,1.27078,0.57306,0.43822,0.47025,0.33157,1.16047,1.29136,1.20331,0.000965239,0.000965239,0.000965239
